NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,ano
NA (13420),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.708333333333334,24,5,2014
Química (Licenciatura) (99808),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.708333333333333,24,6,2014
Química (Licenciatura) (99808),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.708333333333333,24,4,2014
Geografia (Licenciatura) (120777),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.701754385964912,57,5,2014
Geografia (Licenciatura) (120777),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.701754385964912,57,2,2014
Engenharia Ambiental (112282),UFCG,PB,60,Curso em geral,O curso disponibilizou monitores ou tutores para auxiliar os estudantes.,5.700000000000001,20,2,2014
Engenharia Ambiental (112282),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.7,20,6,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,47,Curso em geral,O curso favoreceu a articulação do conhecimento teórico com atividades práticas.,5.695652173913044,23,1,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,5.695652173913043,23,2,2014
Pedagogia (Licenciatura) (13410),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.6953125,128,2,2014
Geografia (Licenciatura) (120777),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.684210526315789,57,1,2014
Pedagogia (Licenciatura) (13452),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.675675675675676,37,5,2014
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,54,Curso em geral,"Os estudantes participaram de avaliações periódicas do curso (disciplinas, atuação dos professores, infraestrutura).",5.672727272727274,55,1,2014
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.672727272727273,55,2,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.666666666666667,18,8,2014
Geografia (Licenciatura) (120777),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.666666666666666,57,3,2014
NA (313449),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.666666666666666,15,6,2014
Pedagogia (Licenciatura) (13452),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.657894736842105,38,5,2014
Pedagogia (Licenciatura) (13452),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.657894736842105,38,7,2014
Pedagogia (Licenciatura) (13410),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.65625,128,8,2014
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.654545454545455,55,7,2014
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,5.654545454545454,55,2,2014
Pedagogia (Licenciatura) (13410),UFCG,PB,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,5.653543307086615,127,2,2014
Pedagogia (Licenciatura) (13410),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.653543307086614,127,3,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,5.6521739130434785,23,3,2014
Engenharia Ambiental (112282),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.65,20,6,2014
Pedagogia (Licenciatura) (13410),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.6484375,128,3,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.647058823529412,17,4,2014
Engenharia (13445),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.645833333333333,48,3,2014
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.63768115942029,69,11,2014
História (Licenciatura) (13449),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.633333333333334,90,9,2014
Geografia (Licenciatura) (120777),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.63157894736842,57,5,2014
Engenharia Elétrica (13438),UFCG,PB,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,5.628787878787879,132,4,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,62,Infraestrutura,Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes.,5.625,16,1,2014
NA (13420),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.625,24,7,2014
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.6231884057971016,69,10,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.619047619047619,21,4,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,63,Infraestrutura,Os ambientes e equipamentos destinados às aulas práticas foram adequados ao curso.,5.619047619047619,21,1,2014
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.618181818181818,55,4,2014
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.614285714285714,70,8,2014
Geografia (Licenciatura) (120777),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.614035087719298,57,7,2014
Geografia (Licenciatura) (120777),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.614035087719298,57,4,2014
Pedagogia (Licenciatura) (13410),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,5.612403100775194,129,2,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,5.611111111111112,18,1,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.611111111111112,18,5,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,37,"Ensino, apoio e avaliacão",As relações professor-aluno ao longo do curso estimularam você a estudar e aprender.,5.611111111111111,18,1,2014
Pedagogia (Licenciatura) (13452),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.611111111111111,36,6,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,5.608695652173913,23,3,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.608695652173913,23,4,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,5.608695652173913,23,2,2014
Geografia (Licenciatura) (120777),UFCG,PB,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,5.607142857142857,56,5,2014
Engenharia de Alimentos (112294),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.6000000000000005,20,5,2014
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.6,70,4,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,46,Curso em geral,A instituição ofereceu oportunidades para os estudantes atuarem como representantes em órgãos colegiados.,5.6,20,1,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.590909090909091,22,8,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,5.588235294117647,17,3,2014
NA (13450),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.586206896551724,29,12,2014
Pedagogia (Licenciatura) (13410),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,5.582677165354331,127,3,2014
Pedagogia (Licenciatura) (13410),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,5.5813953488372094,129,3,2014
