NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,ano
Música (Licenciatura) (118630),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.315789473684211,19,17,2017
Música (Licenciatura) (118630),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.315789473684211,19,14,2017
História (Licenciatura) (13405),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.315068493150685,73,28,2017
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.314814814814815,54,17,2017
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.313432835820896,67,9,2017
Ciências Biológicas (Licenciatura) (1152882),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.3125,32,18,2017
Engenharia (1106562),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.3125,16,15,2017
Engenharia (13445),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.3125,32,6,2017
Engenharia (13445),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.3125,32,18,2017
Engenharia Ambiental (112282),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.3125,48,29,2017
Pedagogia (Licenciatura) (13410),UFCG,PB,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,5.310344827586207,87,4,2017
Pedagogia (Licenciatura) (13410),UFCG,PB,60,Curso em geral,O curso disponibilizou monitores ou tutores para auxiliar os estudantes.,5.310344827586207,87,11,2017
Engenharia Química (13441),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.3088235294117645,68,30,2017
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.304347826086956,46,6,2017
Química (Licenciatura) (1152881),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.303030303030304,33,18,2017
Engenharia (1106561),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.300000000000001,20,16,2017
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.296296296296297,54,8,2017
Engenharia de Alimentos (118550),UFCG,PB,47,Curso em geral,O curso favoreceu a articulação do conhecimento teórico com atividades práticas.,5.294117647058824,17,2,2017
