X,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,NT_GER,NT_FG,NT_CE,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81,NOME_CURSO,Código Mantenedora,CNPJ,Natureza Jurídica,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Categoria,Categoria Administrativa,IGC,Ano IGC
1259,2017,2564,1,10028,3002,120777,1,2504009,25,2,24,2012,2017,1,"42,8","38,0","44,4",A,A,A,D,B,B,D,A,A,A,A,E,A,A,E,25,A,A,B,H,A,D,D,E,G,F,6,6,6,6,6,2,5,6,6,6,6,4,5,3,2,6,6,6,6,3,6,4,6,6,5,8,8,6,6,1,6,6,2,5,5,2,1,6,5,6,4,6,B,C,I,I,A,B,D,E,E,C,C,B,C,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1260,2017,2564,1,10028,3002,120777,1,2504009,25,2,24,2011,2014,1,"37,3","53,8","31,8",A,D,A,B,F,B,D,A,C,C,A,A,A,A,A,25,A,C,B,C,A,C,B,E,H,F,6,6,6,5,5,6,5,5,6,5,6,6,6,5,6,5,6,6,6,7,5,5,6,6,5,7,7,7,6,6,6,6,6,6,5,6,5,6,7,5,6,4,A,A,B,A,A,A,D,B,A,B,B,A,B,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1261,2017,2564,1,10028,3002,120777,1,2504009,25,2,21,2012,2017,1,"62,6","65,6","61,6",A,D,A,D,E,B,E,B,B,A,A,A,D,A,E,25,A,A,B,G,A,E,E,E,E,A,5,6,5,6,6,5,6,6,6,6,6,5,6,6,6,6,4,4,2,2,6,6,6,1,8,8,8,6,6,1,6,6,3,6,6,6,1,6,2,6,6,3,A,D,I,I,A,A,C,C,C,A,A,B,B,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1262,2017,2564,1,10028,3002,120777,1,2504009,25,2,24,2012,2014,1,"42,0","81,5","28,8",A,D,A,B,B,B,C,A,B,A,A,A,C,A,A,25,A,A,E,G,B,E,E,E,H,A,6,5,6,6,6,6,6,6,5,5,5,5,5,5,5,6,4,4,5,4,6,5,5,5,8,4,3,4,5,6,6,5,5,5,5,4,5,5,8,5,2,3,A,C,H,D,A,A,D,D,A,C,C,B,B,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1263,2017,2564,1,10028,3002,120777,1,2504009,25,2,26,2013,2016,1,"27,1","23,3","28,3",A,A,A,B,A,B,F,A,A,A,A,A,F,A,A,25,A,A,A,A,B,A,C,E,G,A,6,6,6,6,5,6,4,5,4,2,3,5,4,7,6,6,6,6,7,7,6,4,4,6,8,8,8,8,6,6,5,6,5,6,5,4,1,6,3,6,3,5,C,F,I,I,A,A,F,A,E,C,C,B,D,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1264,2017,2564,1,10028,3002,120777,1,2504009,25,2,23,2013,2014,1,"45,6","48,1","44,7",A,B,A,B,B,B,F,B,C,A,A,A,C,A,E,25,A,A,B,C,A,C,C,E,H,F,6,6,5,6,6,6,6,5,5,6,6,5,5,5,5,5,5,6,5,4,6,5,5,6,6,3,1,6,5,4,6,5,6,6,2,4,4,5,8,6,5,4,A,C,A,F,A,A,D,D,C,B,C,B,B,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1265,2017,2564,1,10028,3002,120777,1,2504009,25,2,24,2012,2014,1,"29,7","32,5","28,8",A,D,A,A,B,B,E,A,B,A,A,F,F,A,C,25,A,A,B,C,B,B,B,E,G,A,4,3,1,5,4,1,2,2,2,3,1,1,2,2,1,4,1,1,1,2,3,1,3,5,4,1,1,1,2,1,3,3,3,2,2,2,3,3,3,3,3,1,A,F,I,I,A,A,C,B,A,A,B,B,A,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1266,2017,2564,1,10028,3002,120777,1,2504009,25,2,22,2011,2014,1,"53,0","65,5","48,8",A,A,A,D,D,B,B,A,B,A,A,A,B,A,D,25,A,A,B,G,B,B,C,D,A,C,4,4,4,6,6,6,6,6,6,4,4,4,4,4,5,6,5,6,5,3,3,4,4,6,7,8,8,6,6,3,6,5,4,6,5,2,1,6,8,5,4,1,A,C,H,D,A,B,C,E,C,A,C,C,C,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1267,2017,2564,1,10028,3002,120777,1,2504009,25,2,24,2013,2014,1,"63,8","65,9","63,1",A,D,A,D,D,A,A,A,C,A,A,E,A,A,C,25,A,A,B,C,A,A,B,E,B,C,4,4,6,6,6,6,6,6,6,6,3,4,6,6,4,5,4,6,1,5,6,4,6,6,6,1,1,1,6,6,6,6,4,3,5,4,5,5,3,6,4,3,A,C,I,I,A,D,C,D,A,B,B,B,A,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1268,2017,2564,1,10028,3002,120777,1,2504009,25,2,22,2012,2013,1,"56,3","58,4","55,6",A,D,A,D,D,B,G,B,E,B,A,A,B,A,D,25,A,A,B,C,A,C,E,C,A,F,6,6,6,4,4,5,5,5,5,5,5,5,5,5,6,5,5,5,3,3,4,4,3,5,6,1,1,3,3,5,5,5,3,4,4,3,3,5,2,5,3,2,B,H,H,A,A,A,D,D,A,B,B,B,B,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1269,2017,2564,1,10028,3002,120777,1,2504009,25,2,28,2007,2014,1,"49,1","63,1","44,4",A,D,A,B,B,B,D,A,B,A,A,A,D,A,C,25,A,A,A,C,B,B,C,E,G,F,4,4,5,5,5,5,6,6,5,5,4,5,5,8,4,5,4,4,8,8,4,4,4,5,7,8,8,8,5,4,6,6,6,5,4,7,5,5,7,6,8,5,D,J,I,I,A,B,C,B,A,A,B,B,A,Geografia (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
