X,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,ANO_FIM_2G,ANO_IN_GRAD,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,NT_GER,NT_FG,NT_CE,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81,NOME_CURSO,Código Mantenedora,CNPJ,Natureza Jurídica,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Categoria,Categoria Administrativa,IGC,Ano IGC
1641,2014,2564,10002,10028,5401,313436,1,2504009,25,2,33,2007,2008,0,0,1,1,1,56,73.1,50.3,B,B,A,C,C,C,D,A,A,A,G,E,F,A,D,25,A,B,A,G,B,B,D,E,H,F,6,3,6,4,6,2,6,6,6,6,6,6,6,7,7,6,3,6,7,4,2,7,5,6,6,7,7,2,6,8,6,4,6,3,2,2,1,5,7,5,7,5,,,,,,,,,,,,,,Ciências Sociais (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1642,2014,2564,10002,10028,5401,313436,1,2504009,25,2,24,2005,2010,0,0,1,1,1,51.3,56.1,49.7,A,C,A,B,B,B,E,B,B,A,A,A,C,A,A,25,A,A,F,C,B,C,E,E,G,A,6,3,4,6,5,3,6,6,5,4,7,2,6,1,4,6,3,2,2,2,3,6,5,7,7,1,1,1,4,2,6,3,2,5,3,4,4,2,1,3,1,1,,,,,,,,,,,,,,Ciências Sociais (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1643,2014,2564,10002,10028,701,313448,1,2504009,25,2,21,2009,2012,1,1,0,1,1,43.8,61.7,37.8,A,A,A,D,E,B,E,E,A,A,A,A,E,A,A,25,B,A,B,G,A,B,E,D,E,F,6,5,6,4,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,1,5,1,6,6,6,6,6,6,6,6,6,6,6,5,6,5,,,,,,,,,,,,,,Matemática (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1644,2014,2564,10002,10028,701,313448,1,2504009,25,2,22,2009,2013,1,1,0,1,1,54.2,68.4,49.4,A,A,A,D,D,A,A,A,C,A,A,A,E,A,A,25,A,A,A,A,B,D,D,E,E,F,5,6,6,6,6,6,6,6,6,6,5,6,5,4,6,6,6,6,6,8,6,6,6,7,7,6,6,1,1,4,5,4,6,6,6,6,6,6,2,6,6,5,,,,,,,,,,,,,,Matemática (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1646,2014,2564,10002,10028,701,313448,1,2504009,25,2,26,2006,2011,1,1,0,1,1,41.2,52.5,37.4,A,C,A,E,E,B,C,D,E,E,A,A,E,A,A,25,B,A,B,C,A,D,E,A,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,7,6,8,8,4,6,6,6,4,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,Matemática (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1649,2014,2564,10002,10028,701,313448,1,2504009,25,2,21,2009,2010,1,1,0,1,1,81.2,86,79.6,A,A,A,B,B,D,A,B,C,A,A,A,B,A,A,25,A,A,B,K,B,B,C,E,E,F,5,5,4,5,5,5,6,6,5,5,4,3,5,6,6,6,6,6,3,3,4,4,6,7,8,8,8,4,5,4,4,5,3,5,1,1,1,5,1,4,2,1,,,,,,,,,,,,,,Matemática (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1650,2014,2564,10002,10028,701,313448,1,2504009,25,2,23,2009,2010,1,1,0,1,1,53.1,39.1,57.8,A,A,A,B,D,B,B,A,C,A,A,A,E,A,A,25,A,A,B,K,B,C,E,A,E,F,3,5,6,3,6,6,6,2,6,6,6,6,6,6,4,6,6,6,6,8,7,7,5,7,6,7,5,4,6,6,6,3,5,5,4,7,7,5,1,7,2,3,,,,,,,,,,,,,,Matemática (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1651,2014,2564,10002,10028,701,313448,1,2504009,25,2,21,2009,2012,1,1,0,1,1,58.4,79.8,51.3,A,C,A,B,C,B,F,B,C,C,A,A,E,A,A,25,A,A,D,G,A,E,E,E,E,F,5,6,5,6,5,5,6,7,6,5,6,6,6,5,5,6,6,6,6,4,6,6,6,7,6,4,4,4,5,5,6,5,5,5,3,7,7,6,4,4,3,4,,,,,,,,,,,,,,Matemática (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1652,2014,2564,10002,10028,701,313448,1,2504009,25,2,26,2007,2012,1,1,0,1,1,53.2,96,38.9,A,A,A,D,E,B,D,C,D,C,A,A,E,A,A,25,E,D,A,H,A,D,E,D,E,F,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,8,4,5,6,7,6,8,8,6,6,6,6,6,3,6,3,6,6,5,1,6,2,4,,,,,,,,,,,,,,Matemática (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1653,2014,2564,10002,10028,701,313448,1,2504009,25,2,23,2009,2012,1,1,0,1,1,44,56,40,A,C,A,A,A,D,A,A,A,A,A,B,E,A,A,25,A,A,A,H,A,A,D,B,H,A,6,6,6,6,7,6,6,3,6,4,6,6,6,6,6,6,6,6,6,3,5,4,3,7,6,1,1,3,6,6,6,5,6,6,6,6,6,6,6,6,6,1,,,,,,,,,,,,,,Matemática (Bacharelado),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
1655,2014,2564,10002,10028,2401,313449,1,2504009,25,2,23,2009,2010,0,0,1,1,1,29.3,26.9,30.1,A,A,A,A,B,B,D,A,B,B,A,A,D,A,A,25,A,A,A,A,B,C,B,A,E,F,3,4,4,5,4,3,5,6,6,4,3,3,4,3,6,4,4,3,4,4,5,4,4,8,5,8,8,4,4,5,4,6,5,5,4,4,5,6,6,5,5,4,,,,,,,,,,,,,,NA,14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
